nombre,url,modelo,categoria,precio,descripcion,opiniones,imagen
Asiento Skipper 400x480x500mm Polietileno Blanco,https://www.accesorionautico.com/asiento-skipper-400x480x500mm-polietileno-blanco-p-11436.html,[90700106],[Asientos Piloto],"35,95€","Asiento en Polietileno blanco,va bien con el pie 90700112 , 90700200 , 90700202 , y todos los de marca garelick.",0/10  (0 votos),https://www.accesorionautico.com/images/products/90700106.jpg
Bidon Combustible 5 Litros Imnasa,https://www.accesorionautico.com/bidon-combustible-litros-imnasa-p-557.html,[35250200],[Jerrycan y Embudos],"7,90€","Depósito para el transporte de combustible «Jerrycan» de plástico con tubo para facilitar el transvase.,Tapón con escape de gases. Servidos con vertedor.,Ergonomicos, con forma de asa en la base para facilitar el vaciado.,Capacidad 5 litros.",9/10  (4 votos),https://www.accesorionautico.com/images/products/35250200.JPG
Asta Bandera Inox 40 cm + Base Inox,https://www.accesorionautico.com/banderas-para-barcos-nautica-astas-mastiles-banderas-soportes-c-4_41_195.html,[41250567+0570],[Asta Bandera en Inox],"17,95€","Asta de Bandera ajustable en inox. base tipo bayoneta. Longitud; 40 cm   Diametro; 14 mm .,base de plastico abs .",8/10  (4 votos),https://www.accesorionautico.com/images/products/asta_bandera_c_soporte.jpg
Antifouling IP-4 PERFORMANCE Matriz dura Imnasa Azul 0.75 L,https://www.accesorionautico.com/antifouling-pinturas-materiales-pintura-pintura-nautica-antifouling-c-22_1307_117.html,[18250274],[Antifouling Performance IP-4 Matriz dura Max 50 Kn],"39,95€","Antifouling IP-4 Matriz dura , adaptado para embarcaciones de vela y motor hasta 50 nudos que permanecen todo el año en el agua.,Envase de 0.75 litros. Color Azul.",9/10  (5 votos),https://www.accesorionautico.com/images/products/ANTIFOULING IMNASA.jpg
Salvavidas para Vigilante de Playa Profesional Imnasa,https://www.accesorionautico.com/salvavidas-para-vigilante-playa-profesional-imnasa,[90250410],"[Aros , Herraduras y Soportes Salvavidas]","36,95€", El salvavidas profesional consta de una superficie especialmete suave y un diseño especial que permite el fácil arrastre de la persona a la que se soporta. El color naranja posee una visibilidad excelente incluso en condiciones meteorológicas adversas. La cuerda esta firmemente unida al cuerpo con el fin de garantizar la maxima seguridad.,10/10  (9 votos),https://www.accesorionautico.com/images/products/90250410.jpg
Antifouling IP-4 PERFORMANCE Matriz dura Imnasa Negro 0.75 L,https://www.accesorionautico.com/antifouling-pinturas-materiales-pintura-pintura-nautica-antifouling-c-22_1307_117.html,[18250278],[Antifouling Performance IP-4 Matriz dura Max 50 Kn],"39,95€","Antifouling IP-4 Matriz dura , adaptado para embarcaciones de vela y motor hasta 50 nudos que permanecen todo el año en el agua.,Envase de 0.75 litros. Color negro.",9/10  (7 votos),https://www.accesorionautico.com/images/products/ANTIFOULING IMNASA.jpg
Antifouling IP-3 Performance Imnasa Blanco 0.75 L,https://www.accesorionautico.com/antifouling-pinturas-materiales-pintura-pintura-nautica-antifouling-c-22_1307_117.html,[18250260-O],[Antifouling Performance IP-3 Semipulimentable Max 30 Kn],"39,95€","Antifouling IP3 Performance semipulimentable adaptado para embarcaciones de vela y motor hasta 30 nudos que permanecen todo el año en el agua.,Envase de 0.75 litros. Color Blanco.",9/10  (5 votos),"https://www.accesorionautico.com/images/products/18250254 de 0,75.jpg"
Antifouling IP-4 PERFORMANCE Matriz dura Imnasa Verde 0.75 L,https://www.accesorionautico.com/antifouling-pinturas-materiales-pintura-pintura-nautica-antifouling-c-22_1307_117.html,[18250252],[Antifouling Performance IP-4 Matriz dura Max 50 Kn],"39,95€","Antifouling IP-4 Matriz dura , adaptado para embarcaciones de vela y motor hasta 50 nudos que permanecen todo el año en el agua.,Envase de 0.75 litros. Color Verde.",9/10  (9 votos),https://www.accesorionautico.com/images/products/ANTIFOULING IMNASA.jpg
Antifouling IP-3 Performance Imnasa Rojo 0.75 L,https://www.accesorionautico.com/antifouling-pinturas-materiales-pintura-pintura-nautica-antifouling-c-22_1307_117.html,[18250272],[Antifouling Performance IP-3 Semipulimentable Max 30 Kn],"39,95€","Antifouling IP3 Performance semipulimentable adaptado para embarcaciones de vela y motor hasta 30 nudos que permanecen todo el año en el agua.,Envase de 0.75 litros. Color Rojo.",9/10  (8 votos),"https://www.accesorionautico.com/images/products/18250254 de 0,75.jpg"
Antifouling I4 Imnasa Negro 0.75 L,https://www.accesorionautico.com/antifouling-pinturas-materiales-pintura-pintura-nautica-antifouling-c-22_1307_117.html,[18250228],[Antifouling I4 Imnasa-Max 50 Kn],"20,95€","Antifouling I4 Matriz dura, adaptado para embarcaciones de vela y motor hasta 50 nudos.,Envase de 0.75 litros. Color negro.",9/10  (5 votos),https://www.accesorionautico.com/images/products/0_Imnasa-Antifouling-Matriz-Dura-2_5L-Imnasa.jpg
Antifouling IP-4 PERFORMANCE Matriz dura Imnasa Blanco 0.75 L,https://www.accesorionautico.com/antifouling-pinturas-materiales-pintura-pintura-nautica-antifouling-c-22_1307_117.html,[18250276-O],[Antifouling Performance IP-4 Matriz dura Max 50 Kn],"39,95€","Antifouling IP-4 Matriz dura , adaptado para embarcaciones de vela y motor hasta 50 nudos que permanecen todo el año en el agua.,Envase de 0.75 litros. Color Blanco.",9/10  (7 votos),https://www.accesorionautico.com/images/products/ANTIFOULING IMNASA.jpg
Antifouling IP-3 Performance Imnasa Azul 0.75 L,https://www.accesorionautico.com/antifouling-pinturas-materiales-pintura-pintura-nautica-antifouling-c-22_1307_117.html,[18250254-O],[Antifouling Performance IP-3 Semipulimentable Max 30 Kn],"39,95€","Antifouling IP-3 Performance semipulimentable adaptado para embarcaciones de vela y motor hasta 30 nudos que permanecen todo el año en el agua.,Envase de 0.75 litros. Color Azul.",9/10  (1 voto),"https://www.accesorionautico.com/images/products/18250254 de 0,75.jpg"
Antifouling IP-4 PERFORMANCE Matriz dura Imnasa Rojo 0.75 L,https://www.accesorionautico.com/antifouling-pinturas-materiales-pintura-pintura-nautica-antifouling-c-22_1307_117.html,[18250280-O],[Antifouling Performance IP-4 Matriz dura Max 50 Kn],"39,95€","Antifouling IP-4 Matriz dura , adaptado para embarcaciones de vela y motor hasta 50 nudos que permanecen todo el año en el agua.,Envase de 0.75 litros. Color rojo.",9/10  (2 votos),https://www.accesorionautico.com/images/products/ANTIFOULING IMNASA.jpg
Antifouling IP-4 PERFORMANCE Matriz dura Imnasa Gris 0.75 L,https://www.accesorionautico.com/antifouling-pinturas-materiales-pintura-pintura-nautica-antifouling-c-22_1307_117.html,[18250256],[Antifouling Performance IP-4 Matriz dura Max 50 Kn],"39,95€","Antifouling IP-4 Matriz dura , adaptado para embarcaciones de vela y motor hasta 50 nudos que permanecen todo el año en el agua.,Envase de 0.75 litros. Color Gris.",9/10  (10 votos),https://www.accesorionautico.com/images/products/ANTIFOULING IMNASA.jpg
Antifouling I4 Imnasa Azul 0.75 L,https://www.accesorionautico.com/antifouling-pinturas-materiales-pintura-pintura-nautica-antifouling-c-22_1307_117.html,[18250224-O],[Antifouling I4 Imnasa-Max 50 Kn],"20,95€","Antifouling I4 Matriz dura , adaptado para embarcaciones de vela y motor hasta 50 nudos.,Envase de 0.75 litros. Color Azul.",9/10  (4 votos),https://www.accesorionautico.com/images/products/0_Imnasa-Antifouling-Matriz-Dura-2.5L-Imnasa.jpg
Antifouling I4 Imnasa Rojo 0.75 L,https://www.accesorionautico.com/antifouling-pinturas-materiales-pintura-pintura-nautica-antifouling-c-22_1307_117.html,[18250230],[Antifouling I4 Imnasa-Max 50 Kn],"20,95€","Antifouling I4 Matriz dura, adaptado para embarcaciones de vela y motor hasta 50 nudos.,Envase de 0.75 litros. Color rojo.",8/10  (11 votos),https://www.accesorionautico.com/images/products/0_Imnasa-Antifouling-Matriz-Dura-2_5L-Imnasa.jpg
Antifouling I4 Imnasa Blanco 0.75 L,https://www.accesorionautico.com/antifouling-pinturas-materiales-pintura-pintura-nautica-antifouling-c-22_1307_117.html,[18250226],[Antifouling I4 Imnasa-Max 50 Kn],"20,95€","Antifouling I4 Matriz Dura, adaptado para embarcaciones de vela y motor hasta 50 nudos.,Envase de 0.75 litros. Color Blanco.",9/10  (5 votos),https://www.accesorionautico.com/images/products/0_Imnasa-Antifouling-Matriz-Dura-2_5L-Imnasa.jpg
Antifouling I3 Imnasa Rojo 0.75 L,https://www.accesorionautico.com/antifouling-pinturas-materiales-pintura-pintura-nautica-antifouling-c-22_1307_117.html,[18250222],[Antifouling I3 Imnasa-Max 30 Kn],"20,95€","Antifouling I3 semipulimentable adaptado para embarcaciones de vela y motor hasta 30 nudos.,Envase de 0.75 litros. Color rojo.",9/10  (7 votos),https://www.accesorionautico.com/images/products/18250204.jpg
Antifouling IP-3 Performance Imnasa Negro 0.75 L,https://www.accesorionautico.com/antifouling-pinturas-materiales-pintura-pintura-nautica-antifouling-c-22_1307_117.html,[18250266-O],[Antifouling Performance IP-3 Semipulimentable Max 30 Kn],"39,95€","Antifouling IP3 Performance semipulimentable adaptado para embarcaciones de vela y motor hasta 30 nudos que permanecen todo el año en el agua.,Envase de 0.75 litros. Color Negro.",10/10  (2 votos),"https://www.accesorionautico.com/images/products/18250254 de 0,75.jpg"
"Ancla Rezon de Varillas 2,5 Kg Inox Imnasa",https://www.accesorionautico.com/anclas-ancla-rezon-varillas-c-18_88_918.html,[16400073],[Ancla Rezon de Varillas Inox],"52,95€","Ancla Rezon de Varillas 2,5 Kg Inox Imnasa. Ancla rezón de varillas, modelo en acero inoxidable,Peso 2,5 Kgs,Longitud tubo:40cm; longiyud varillas: 420 mm,Diametro varillas: 8 mm",10/10  (10 votos),https://www.accesorionautico.com/images/products/ancla rezon.jpg
"Ancla Rezon de Varillas 2,5 Kg Galvanizado Imnasa",https://www.accesorionautico.com/anclas-ancla-rezon-varillas-c-18_88_918.html,[16400070],[Ancla Rezon de Varillas Galvanizada],"11,95€","Ancla rezón de varillas, modelo galvanizado,Peso 2,5 Kg,Longitud tubo:40cm; longitud varillas: 420 mm,Diametro varillas: 8 mm",9/10  (8 votos),https://www.accesorionautico.com/images/products/ancla rezon.jpg
Antifouling I3 Imnasa Azul 0.75 L,https://www.accesorionautico.com/antifouling-pinturas-materiales-pintura-pintura-nautica-antifouling-c-22_1307_117.html,[18250204-O],[Antifouling I3 Imnasa-Max 30 Kn],"20,95€","Antifouling I3 semipulimentable adaptado para embarcaciones de vela y motor hasta 30 nudos.,Envase de 0.75 litros. Color Azul.",9/10  (8 votos),https://www.accesorionautico.com/images/products/18250204.jpg
Antifouling I3 Imnasa Blanco 0.75 L,https://www.accesorionautico.com/antifouling-pinturas-materiales-pintura-pintura-nautica-antifouling-c-22_1307_117.html,[18250210],[Antifouling I3 Imnasa-Max 30 Kn],"20,95€","Antifouling I3 semipulimentable adaptado para embarcaciones de vela y motor hasta 30 nudos.,Envase de 0.75 litros. Color Blanco.",9/10  (6 votos),https://www.accesorionautico.com/images/products/18250204.jpg
Antifouling I3 Imnasa Negro 0.75 L,https://www.accesorionautico.com/antifouling-pinturas-materiales-pintura-pintura-nautica-antifouling-c-22_1307_117.html,[18250216-O],[Antifouling I3 Imnasa-Max 30 Kn],"20,95€","Antifouling I3 semipulimentable adaptado para embarcaciones de vela y motor hasta 30 nudos.,Envase de 0.75 litros. Color negro.",8/10  (3 votos),https://www.accesorionautico.com/images/products/18250204.jpg
Ancla FOB THP 4 Kg Imnasa,https://www.accesorionautico.com/anclas-anclas-c-18_88_930.html,[16400124],[Anclas FOB  THP],"52,95€","Ancla FOB THP 4 Kg Imnasa. Ancla FOB THP,en acero galvanizado,Modelo de 4 kilos",9/10  (11 votos),https://www.accesorionautico.com/images/products/16400124-1.jpg
Ancla FOB LIGH 2 Kg Imnasa,https://www.accesorionautico.com/anclas-anclas-c-18_88_930.html,[16400120],[Anclas FOB LIGHT],"199,95€","Ancla FOB LIGH 2 Kg Imnasa. Ancla FOB LIGHT desmontable de aluminio-magnesio. Ideal como segundo fondeo,Modelo de 2 Kilos,Para embarcaciones de 0 á 2,5 tn,Linea de entrada 10 mm,Angulo de 32º á 45º",10/10  (4 votos),https://www.accesorionautico.com/images/products/16400120-1.jpg
Lubricante Colas BelRay Premium 20l,https://www.accesorionautico.com/lubricante-colas-belray-premium-p-8917.html,[24982402-O],[Lubricantes- Aceites Cola - Grasas - Anticorrosion],"195,00€",Aceite para engranajes 20 litros,0/10  (0 votos),https://www.accesorionautico.com/images/products/5555VeSL._SY355_.jpg
"Ancla Tipo CLAW Galvanizada 2,5 Kg",https://www.accesorionautico.com/anclas-anclas-tipo-claw-c-18_88_936.html,[16400321],[Anclas tipo CLAW galvanizada],"12,95€","Ancla Tipo CLAW Galvanizada  2,5 Kg. Ancla en acero,fundido y zincado al fuego,Modelo de 2,5 Kilos",8/10  (1 voto),https://www.accesorionautico.com/images/products/00111002.jpg
Ancla Tipo CLAW Inox 5 Kg,https://www.accesorionautico.com/anclas-anclas-tipo-claw-c-18_88_936.html,[16400137-O],[Anclas tipo CLAW Inox 316],"167,00€","Ancla Tipo CLAW Inox 5 Kg. Ancla en inox 316,Modelo de 5 Kgs",9/10  (11 votos),https://www.accesorionautico.com/images/products/85.jpg
Ancla FOB HP 4 Kg Imnasa,https://www.accesorionautico.com/anclas-anclas-c-18_88_930.html,[16400100],[Anclas FOB  HP],"79,95€","Ancla FOB HP 4 Kg Imnasa. Ancla FOB HP en acero galvanizado.,Aprobado Bureau Veritas,Modelo de 4 Kgs",9/10  (11 votos),https://www.accesorionautico.com/images/products/16400100 (1).jpg
Alargo Electrico Negro 5 m,https://www.accesorionautico.com/alargo-electrico-negro-p-3726.html,[64000072],[Cables Electricos],"49,95€","Cable acrílico flexible 0,6/1 kV.,Cable de 3 x 1,5,Longitud del cable 5 metros",8/10  (1 voto),https://www.accesorionautico.com/images/products/64000072.jpg
Conjunto Ducha Blanca,https://www.accesorionautico.com/duchas-accesorios-kits-ducha-c-345_346_347.html,[31250048],[Kits de Ducha],"31,90€","Conjunto de ducha con caja blanca de poca profundidad.,Se integra sobre cualquier mamparo y se adapata a la mayoria de las duchas.,La tapa con un ""click"" asegura un cierre eficaz y evita que la ducha se escape de su cofre. En posición cerrada la tapa es estanca a las salpicaduras del agua. Al abrir la tapa unas hendiduras la mantienen en posición abierta. Una forma estudiada de la caja de ducha evita el disparo no deseado del pulsador. ,Tapa resistente a los UVA y a las variaciones de temperatura.,Servida tambien con ducha blanca en ABS y manguera-flexo de 2.5 metros.",9/10  (7 votos),https://www.accesorionautico.com/images/products/463031.jpg
Lubricante Colas BelRay High Performance 946ml,https://www.accesorionautico.com/lubricante-colas-belray-high-performance-946ml-p-8918.html,[24982501-O],[Lubricantes- Aceites Cola - Grasas - Anticorrosion],"18,95€",Aceite para engranajes 1 litro,0/10  (0 votos),https://www.accesorionautico.com/images/products/synthetic.jpg
Cabrestante Manual Imnasa 630 kg,https://www.accesorionautico.com/cabrestantes-manuales-cabrestantes-manuales-imnasa-c-16_74_615.html,[90800332],[Cabrestantes Manuales Imnasa],"38,95€","Cabrestante manual de hasta 630 kg. Reduccion 4,1:1",9/10  (7 votos),https://www.accesorionautico.com/images/products/cabestrante-winch-manual-remolque-540-kg-1-338704.jpg
Cadenote Inox 8x80 mm.,https://www.accesorionautico.com/cancamos-cadenotes-cadenote-inox-c-28_396_399.html,[20233123],[Cadenote Inox],"2,50€","Cadenote en acero inoxidable con ojillo, arandela y tuerca hexagonal.,D1: 8 mm. A: 80 mm. B 70 mm D: 20 mm.,D1_ Ø eje,D   Ø interior ojo,C grosor anilla,B lomgitud rosca",9/10  (3 votos),https://www.accesorionautico.com/images/products/cancamo-6x40-milimetros-20233120.jpg
Cabrestante Manual Imnasa 540 kg,https://www.accesorionautico.com/cabrestantes-manuales-cabrestantes-manuales-imnasa-c-16_74_615.html,[90800331],[Cabrestantes Manuales Imnasa],"32,95€","Cabrestante manual de hasta 540 kg. Reduccion 4,1:1",9/10  (6 votos),https://www.accesorionautico.com/images/products/cabestrante-winch-manual-remolque-540-kg-1-338704.jpg
Asiento 400x510x380mm Semipiel Azul,https://www.accesorionautico.com/asiento-400x510x380mm-semipiel-azul-p-5202.html,[90848391],[Asientos Piloto],"54,95€","Asiento en semipiel de color y herrajes en aluminio.,Medidas 400x510x380 mm,va bien con el pie 90700112 , 90700200 , 90700202 , y todos los de marca garelick.",8/10  (5 votos),https://www.accesorionautico.com/images/products/90848370.jpg
Portacañas Superficie Laton 40mm Imnasa,https://www.accesorionautico.com/portacanas-portacanas-fijacion-superficie-c-17_479_481.html,[41250043-O],[Portacañas Fijacion Superficie],"35,95€","Portacañas en laton cromado. Es variable en su posición (horizontal o vertical), pudiéndose ajustar rápidamente a los ángulos deseados. Aro de PVC superior para protección de las cañas.,Base con embellecedor para los tornillos.,Base 93x63 mm. Cañero 255mm. Altura total 355 mm. Diametro tubo interior 40 mm. ",9/10  (3 votos),https://www.accesorionautico.com/images/products/41250043-1.jpg
Tubo Cola Pvc 65ml,https://www.accesorionautico.com/tubo-cola-65ml-p-11575.html,[03800038],[Kit Reparaciones y Pegamentos],"3,50€",Tubo Cola Pvc 65ml,0/10  (0 votos),https://www.accesorionautico.com/images/products/03800038.jpg
Bomba achique manual 50 lt Imnasa,https://www.accesorionautico.com/bomba-achique-manual-imnasa-p-6948.html,[44250121],[Bombas Achique Manuales],"23,95€","Ideal para usar cuando no hay electricidad, además de ser obligatorio en ciertas categorías de navegación. Es fácil de usar con capacidad de 6,5 galones por minuto a 60 bombeos por minuto. Está provisto de una válvula anti retorno desmontable y una manivela de dos posiciones para fácil acceso y mantenimiento. La salida de la bomba es para tubo de 1 ½ o 1 ¼ pulgadas.",9/10  (2 votos),https://www.accesorionautico.com/images/products/44250121000.jpg
"Toldo Bimini 170 cm 3 arcos, 25mm",https://www.accesorionautico.com/toldo-bimini-arcos-25mm-p-8062.html,[90210352-O],[Toldos Bimini Imnasa Basic],"119,00€","Toldo parasol.,Fabricado en material sintetico blanco de alta tenacidad. Con 3 arcos.  ,ancho : 170 cm,largo : 180 cm,alto : 110 cm,Ø tubo : 25 mm,Adecuado para embarcaciones no neumáticas con el pasador 90866110 ó el 90866111, ",7/10  (3 votos),https://www.accesorionautico.com/images/products/407332_BiminiAluminio1_Plastimo.JPG
Lubricante Colas BelRay High Performance 20l,https://www.accesorionautico.com/lubricante-colas-belray-high-performance-p-8919.html,[24982502-O],[Lubricantes- Aceites Cola - Grasas - Anticorrosion],"275,00€",Aceite para engranajes 20 litro,0/10  (0 votos),https://www.accesorionautico.com/images/products/5555VeSL._SY355_.jpg
Chaleco Salvavidas Hinchable Marea 150 Nw +40 Kg Automatico con Arnes Imnasa,https://www.accesorionautico.com/chalecos-salvavidas-nauticos-chalecos-salvavidas-hinchables-adultos,[90250630-O],[Chalecos Salvavidas Hinchables Adultos],"58,95€","Chaleco Salvavidas Hinchable Marea 150 Nw +40 Kg Automatico con Arnes Imnasa,Chaleco hinchable 150 N.,Asegura el enderezamiento de una persona llevando traje de agua en menos de 5 segundos ; la posiciona de espalda incluso si se halla inconsciente.,Hinchado por botella CO2 (33 g sobre todos chalecos adulto).,Tubo por hinchado bucal, con válvula anti-retorno.,Utilización intensiva (patrón, entrenos invierno...).,Chaleco confortable y resistente.,Percusión Automática.,Cámara de aire Cámara de aire disociada, protegida por funda exterior muy resistente.,Visibilidad del chaleco hinchado Amarillo + 300 cm2 bandas retro-reflectantes,Cincha dorsal Mantiene el chaleco hinchado bien colocado. Cincha polipropileno, ancho 25 mm,Chalecos sin arnés : cincha ajustable polipropileno, ancho 40 mm.,Permite coger el hombre al agua e izarlo fuera del agua. Cincha polipropileno, ancho 25 mm.,HOMOLOGACIÓN ISO 12402 (OBLIGATORA POR MARINA MERCANTE A PARTIR DEL AÑO 2011)",0/10  (0 votos),https://www.accesorionautico.com/images/products/skipper-1-5889.jpeg
Mesa ( sin pie ) 712x406 mm,https://www.accesorionautico.com/mesa-712x406-p-4881.html,[90700137-O],[Mesas Embarcacion],"36,95€","Mesa ( sin pie ) fabricada en pvc con soportes para bebidas,Pie de mesa : 90700197",9/10  (8 votos),https://www.accesorionautico.com/images/products/90700137.jpg
Kit Ducha + Pasacascos + Manguera 1.60 m,https://www.accesorionautico.com/duchas-accesorios-kits-ducha-c-345_346_347.html,[31250208],[Kits de Ducha],"7,95€","Conjunto Ducha compuesto por gatillo , pasacascos y manguera , color blanco.,Sin caja de ducha .",8/10  (6 votos),https://www.accesorionautico.com/images/products/kit-ducha-basico.jpg
"Toldo Bimini 150 cm 2 arcos, 25mm",https://www.accesorionautico.com/toldo-bimini-arcos-25mm-p-8061.html,[90210351-O],[Toldos Bimini Imnasa Basic],"105,00€","Toldo parasol.,Fabricado en material sintetico blanco de alta tenacidad. Con 2 arcos (difiere de la imagen que tiene 3 arcos).  ,ancho : 150 cm,largo : 180 cm,alto : 110 cm,Ø tubo_: 25 mm,Adecuado para embarcaciones no neumáticas con el pasador 90866110 ó el 90866111, ",8/10  (2 votos),https://www.accesorionautico.com/images/products/toldo bimini Ocean.jpg
